zipcode,date,maxtemp_f,mintemp_f,avgtemp_f,daily_chance_of_rain,daily_chance_of_snow,condition.text,condition.icon,timestamp
07030,2024-11-11,70.2,54.7,60.3,73,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,2024-11-11 16:19:49
07030,2024-11-12,53.2,39.2,49.0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,2024-11-11 16:19:49
07030,2024-11-13,47.7,33.1,40.2,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,2024-11-11 16:19:49
07086,2024-11-11,69.4,54.7,60.3,80,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,2024-11-11 16:19:49
07086,2024-11-12,52.7,39.5,49.1,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,2024-11-11 16:19:49
07086,2024-11-13,47.5,34.0,39.7,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,2024-11-11 16:19:49
