zipcode,date,time,temp_f,feelslike_f,heatindex_f,windchill_f,humidity,cloud,chance_of_rain,chance_of_snow,condition.text,condition.icon,timestamp
07030,2024-11-11,2024-11-11 00:00,54.9,51.5,54.9,51.5,97,100,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/night/122.png,2024-11-11 16:19:49
07030,2024-11-11,2024-11-11 01:00,55.8,52.5,55.8,52.5,96,100,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/night/122.png,2024-11-11 16:19:49
07030,2024-11-11,2024-11-11 02:00,56.5,53.4,56.5,53.4,95,100,100,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/night/302.png,2024-11-11 16:19:49
07030,2024-11-11,2024-11-11 03:00,56.9,53.9,56.9,53.9,94,100,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/night/122.png,2024-11-11 16:19:49
07030,2024-11-11,2024-11-11 04:00,57.2,54.3,57.2,54.3,92,100,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/night/122.png,2024-11-11 16:19:49
07030,2024-11-11,2024-11-11 05:00,57.3,54.3,57.3,54.3,92,100,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/night/122.png,2024-11-11 16:19:49
07030,2024-11-11,2024-11-11 06:00,57.2,54.2,57.2,54.2,92,100,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/night/122.png,2024-11-11 16:19:49
07030,2024-11-11,2024-11-11 07:00,57.0,54.0,57.0,54.0,91,100,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/day/122.png,2024-11-11 16:19:49
07030,2024-11-11,2024-11-11 08:00,57.8,55.1,57.8,55.1,89,100,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/day/122.png,2024-11-11 16:19:49
07030,2024-11-11,2024-11-11 09:00,58.3,55.7,58.3,55.7,88,100,0,0,Overcast ,//cdn.weatherapi.com/weather/64x64/day/122.png,2024-11-11 16:19:49
